0	1	2
Should I quit my job?	仕事辞めた方がいいかな？	CC-BY 2.0 (France) Attribution: tatoeba.org #2694019 (Hybrid) & #8602449 (bunbuku)
I never thought that it'd be this hard to create an iPad app.	iPadアプリを作るのがこんなに大変だとは思ってもみなかった。	CC-BY 2.0 (France) Attribution: tatoeba.org #8183775 (CK) & #2280958 (tommy_san)
Is anything the matter with him?	彼はどうかしたのですか。	CC-BY 2.0 (France) Attribution: tatoeba.org #18367 (CK) & #111738 (arnab)
I have no idea of what it is like.	それがどんな風なのかさっぱり分からない。	CC-BY 2.0 (France) Attribution: tatoeba.org #43194 (CK) & #1324721 (bunbuku)
That looks fun. I'd like to try it.	楽しそう。やってみたい。	CC-BY 2.0 (France) Attribution: tatoeba.org #8635575 (CK) & #8635696 (small_snow)
She played a part in the women's lib movement.	彼女は女性解放運動に一役買った。	CC-BY 2.0 (France) Attribution: tatoeba.org #316785 (CK) & #1189902 (bunbuku)
You can do whatever you want to do.	君がやりたいようにやっていいよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #6430062 (CK) & #179093 (bunbuku)
We had not gone far before we were caught in a shower.	あまり遠くに行かない内ににわか雨にあった。	CC-BY 2.0 (France) Attribution: tatoeba.org #67703 (CK) & #230337 (bunbuku)
Are you sure there's nothing in there?	本当にそこには何もないの？	CC-BY 2.0 (France) Attribution: tatoeba.org #3287269 (CK) & #8785129 (bunbuku)
They'll remember.	彼らは思い出すでしょう。	CC-BY 2.0 (France) Attribution: tatoeba.org #2111346 (CK) & #4213333 (Atamapan)
I managed to catch the 8 o'clock train by running all the way to the station.	駅までずっと走って、なんとか八時の電車に間に合った。	CC-BY 2.0 (France) Attribution: tatoeba.org #26005 (CK) & #1149025 (bunbuku)
What time is it?	何時ですか？	CC-BY 2.0 (France) Attribution: tatoeba.org #428402 (laofmoonster) & #5804556 (fafs)
I know that you know.	分かってるんでしょ。	CC-BY 2.0 (France) Attribution: tatoeba.org #1687475 (Spamster) & #2255785 (tommy_san)
I study many languages.	たくさんの言語を勉強しています。	CC-BY 2.0 (France) Attribution: tatoeba.org #2456789 (CK) & #2978471 (Fukuko)
I caught a cold.	私は風邪をひいた。	CC-BY 2.0 (France) Attribution: tatoeba.org #261585 (CK) & #152960 (bunbuku)
I'm super hungry.	超腹減った。	CC-BY 2.0 (France) Attribution: tatoeba.org #1771706 (Scott) & #1771700 (mookeee)
Is there anywhere special in Australia you want to go?	オーストラリアで、特に行きたいところってある？	CC-BY 2.0 (France) Attribution: tatoeba.org #2034507 (CK) & #8817021 (bunbuku)
It looks like those two have made up.	あの二人はよりを戻したらしい。	CC-BY 2.0 (France) Attribution: tatoeba.org #3054816 (CK) & #230514 (tommy__san)
Please keep me informed about whatever happens in my absence.	留守中の出来事はすべて私に知らせておいてください。	CC-BY 2.0 (France) Attribution: tatoeba.org #1427148 (CK) & #78227 (mookeee)
That guy is always asking his parents for money.	あいつは年中、親に金をせびってばかりいる。	CC-BY 2.0 (France) Attribution: tatoeba.org #72016 (Eldad) & #3598522 (arnab)
Tom, do you like long hair or short hair on girls?	トムはロングとショートどっちが好き？	CC-BY 2.0 (France) Attribution: tatoeba.org #4168848 (CK) & #3643199 (tommy_san)
Tom got injured badly in the accident.	トムは事故でひどいけがをした。	CC-BY 2.0 (France) Attribution: tatoeba.org #8040000 (CK) & #8618000 (bunbuku)
I spent the whole day cleaning my room.	僕は１日自分の部屋を掃除した。	CC-BY 2.0 (France) Attribution: tatoeba.org #7822660 (CK) & #7824112 (Ninja)
If you find a mistake, please leave a comment.	間違いを見つけたら、コメントを残しておいてください。	CC-BY 2.0 (France) Attribution: tatoeba.org #388346 (CK) & #1160484 (bunbuku)
Don't worry. Tom will be fine.	心配しなくていいよ。トムは大丈夫だよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #1860370 (CK) & #2105637 (bunbuku)
His plan ought not to be abandoned.	彼の計画は中止されるべきでない。	CC-BY 2.0 (France) Attribution: tatoeba.org #285958 (CM) & #117706 (bunbuku)
What kind of music do you like?	どんな音楽が好きですか？	CC-BY 2.0 (France) Attribution: tatoeba.org #2954145 (CK) & #4270205 (e4zh1nmcz)
Try to eat a little more.	もうちょっと食べてみてよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #3154687 (CK) & #8619807 (bunbuku)
I'll be here if you need me.	必要でしたら私はここにいます。	CC-BY 2.0 (France) Attribution: tatoeba.org #2543694 (CK) & #5348466 (pekerappo)
Was that necessary?	それは必要だったの？	CC-BY 2.0 (France) Attribution: tatoeba.org #2647843 (CK) & #8811870 (bunbuku)
I want this jacket.	このジャケットが欲しいです。	CC-BY 2.0 (France) Attribution: tatoeba.org #7551902 (CK) & #7551825 (Kitsuneko)
People don't say that anymore.	それって死語じゃないの。	CC-BY 2.0 (France) Attribution: tatoeba.org #43036 (CK) & #205790 (bunbuku)
I admire people who express their opinions frankly.	遠慮なく意見が言える人は素晴らしいと思います。	CC-BY 2.0 (France) Attribution: tatoeba.org #1347327 (CK) & #1196403 (bunbuku)
Everyone likes Tom.	トムは誰からも好かれている。	CC-BY 2.0 (France) Attribution: tatoeba.org #2733582 (CK) & #2692396 (tommy_san)
Tom is my friend.	トムは私の友達です。	CC-BY 2.0 (France) Attribution: tatoeba.org #406604 (CK) & #3366954 (arnab)
She is lucky.	彼女は運がいい。	CC-BY 2.0 (France) Attribution: tatoeba.org #1214820 (Chrikaru) & #1003765 (mookeee)
He is still angry.	彼はまだ怒っている。	CC-BY 2.0 (France) Attribution: tatoeba.org #292874 (CK) & #110812 (bunbuku)
Where's your school?	あなたの学校はどこにありますか?	CC-BY 2.0 (France) Attribution: tatoeba.org #2883715 (CK) & #707503 (arihato)
Tom kept my lighter.	トムが私のライターを持っていた。	CC-BY 2.0 (France) Attribution: tatoeba.org #1868109 (CK) & #2242321 (bunbuku)
I feel old.	私も年をとったなあ。	CC-BY 2.0 (France) Attribution: tatoeba.org #1430734 (CK) & #3488345 (arnab)
I found the book very interesting.	その本は読んでみたらとてもおもしろかった。	CC-BY 2.0 (France) Attribution: tatoeba.org #43908 (CK) & #206660 (mookeee)
Our walk was spoiled by the wind and the rain.	風やら雨やらで、我々の散歩は台無しだった。	CC-BY 2.0 (France) Attribution: tatoeba.org #319716 (Hautis) & #84000 (bunbuku)
We've been waiting for hours for you to show up.	何時間も君が現れるのを待っていたんだぞ。	CC-BY 2.0 (France) Attribution: tatoeba.org #24554 (Eldad) & #187416 (bunbuku)
You don't get up as early as your sister.	君はお姉さんほど早く起きないんだね。	CC-BY 2.0 (France) Attribution: tatoeba.org #16742 (Swift) & #177891 (bunbuku)
Tom has rented a room near here.	トムはこの近くに部屋を借りてるんだ。	CC-BY 2.0 (France) Attribution: tatoeba.org #8370263 (CK) & #8665702 (bunbuku)
Tom is looking for an easy way to lose weight.	トムは楽にやせられる方法を探している。	CC-BY 2.0 (France) Attribution: tatoeba.org #1093464 (CK) & #2617487 (tommy_san)
She has an encyclopedic knowledge of cooking.	彼女は料理のことならなんでも知っている。	CC-BY 2.0 (France) Attribution: tatoeba.org #317450 (CK) & #86261 (arnab)
He was elected mayor again.	彼は市長に再選された。	CC-BY 2.0 (France) Attribution: tatoeba.org #297170 (CK) & #106516 (bunbuku)
A good idea came across my mind.	いい考えが浮かんだよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #30075 (CM) & #1163632 (bunbuku)
She laughed and gave me a playful shove.	彼女は笑い、私をいたずらっぽく小突いた。	CC-BY 2.0 (France) Attribution: tatoeba.org #1832177 (marcelostockle) & #3468600 (arnab)
I want to stay outside.	私は外にいたい。	CC-BY 2.0 (France) Attribution: tatoeba.org #2011783 (CK) & #3459170 (arnab)
The weather in Boston today is great.	今日のボストンは素晴らしい天気です。	CC-BY 2.0 (France) Attribution: tatoeba.org #4051760 (CK) & #3984862 (tommy_san)
You don't have to hurry.	急ぐ必要はないよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #19655 (Swift) & #182493 (bunbuku)
I had nothing to do with that incident.	私はその出来事とは何の関係もなかった。	CC-BY 2.0 (France) Attribution: tatoeba.org #254362 (CK) & #160159 (bunbuku)
Two children are sitting on the wall.	二人のこどもが塀に座っています。	CC-BY 2.0 (France) Attribution: tatoeba.org #3001909 (CK) & #2998715 (Fukuko)
He's a bit shy.	あいつはちょっとシャイなんだ。	CC-BY 2.0 (France) Attribution: tatoeba.org #1894254 (Spamster) & #3626369 (arnab)
I'm sure that she has arrived at the village by now.	彼女は今頃もう村に到着してるよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #388738 (CK) & #1209978 (bunbuku)
He told a funny story.	彼は面白い話をした。	CC-BY 2.0 (France) Attribution: tatoeba.org #289848 (CK) & #2380522 (bunbuku)
He was absent from school because of illness.	彼は病気で学校を休んだ。	CC-BY 2.0 (France) Attribution: tatoeba.org #303143 (CM) & #1050411 (bunbuku)
One drop of the poison is enough to kill 160 people.	１滴の毒は１６０人を殺すのに十分である。	CC-BY 2.0 (France) Attribution: tatoeba.org #376412 (saeb) & #1014814 (mookeee)
He is an intelligent boy.	彼は頭のよい子だ。	CC-BY 2.0 (France) Attribution: tatoeba.org #301996 (CK) & #101697 (bunbuku)
Don't let go of my hand.	私の手を離さないで。	CC-BY 2.0 (France) Attribution: tatoeba.org #251111 (CK) & #3475219 (arnab)
Have you eaten dinner?	晩ご飯は食べましたか。	CC-BY 2.0 (France) Attribution: tatoeba.org #953285 (CK) & #1537195 (bunbuku)
I intend to try doing everything I can.	できる限りのことはしてみるつもりだ。	CC-BY 2.0 (France) Attribution: tatoeba.org #6885103 (tripbeetle) & #6849890 (Sonata)
Does the applicant have suitable abilities to carry out the job?	応募者にふさわしい職務遂行能力があるか？	CC-BY 2.0 (France) Attribution: tatoeba.org #328142 (CM) & #75576 (mookeee)
It'll cost about 2,000 yen to repair it.	その修理に二千円ほどかかります。	CC-BY 2.0 (France) Attribution: tatoeba.org #1397632 (CK) & #1116400 (bunbuku)
How long ago did you get here?	どれぐらい前にここへ着いたのですか。	CC-BY 2.0 (France) Attribution: tatoeba.org #1885900 (CK) & #2141983 (bunbuku)
Tom drank.	トムは飲んだ。	CC-BY 2.0 (France) Attribution: tatoeba.org #7410476 (CK) & #7462011 (Ninja)
He chastised them for being noisy.	彼は彼らを騒がしいとたしなめた。	CC-BY 2.0 (France) Attribution: tatoeba.org #1316112 (CM) & #101125 (bunbuku)
It'll rain for sure.	きっと雨になりますよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #1263641 (CK) & #226026 (bunbuku)
Is that really necessary?	それ本当に必要なの？	CC-BY 2.0 (France) Attribution: tatoeba.org #3738924 (CK) & #4212774 (Atamapan)
I was laughed at in school today.	ぼくは今日学校で笑われてしまった。	CC-BY 2.0 (France) Attribution: tatoeba.org #33498 (CK) & #196320 (small_snow)
I agreed to her suggestion that we meet again five years from then.	５年後にまた会いましょうという彼女の提案に、私は同意した。	CC-BY 2.0 (France) Attribution: tatoeba.org #72489 (CK) & #235111 (e4zh1nmcz)
It's a big decision.	これは重大な決断だ。	CC-BY 2.0 (France) Attribution: tatoeba.org #3315200 (CK) & #3474766 (arnab)
Please wait your turn.	順番をお待ち下さい。	CC-BY 2.0 (France) Attribution: tatoeba.org #2775345 (CK) & #147576 (bunbuku)
What he told us the other day simply doesn't make sense, does it?	先日彼が私たちに話したことは全く筋が通らないですよね。	CC-BY 2.0 (France) Attribution: tatoeba.org #273121 (CK) & #1107958 (bunbuku)
Tom was asleep.	トムは眠っていた。	CC-BY 2.0 (France) Attribution: tatoeba.org #2239733 (CK) & #2315988 (tommy_san)
You'll get another chance.	また別のチャンスがあるさ。	CC-BY 2.0 (France) Attribution: tatoeba.org #3356436 (CK) & #3357700 (arnab)
They have been busy.	彼らはずっと忙しい。	CC-BY 2.0 (France) Attribution: tatoeba.org #305682 (CK) & #98021 (bunbuku)
I finally found the solution to the problem.	私はやっとその問題の解決策を見つけた。	CC-BY 2.0 (France) Attribution: tatoeba.org #248196 (CK) & #1163753 (bunbuku)
It is difficult to translate a poem into another language.	詩を別の言語に翻訳するのは難しい。	CC-BY 2.0 (France) Attribution: tatoeba.org #263395 (megamanenm) & #151161 (bunbuku)
I bought two bottles of milk.	牛乳を２本買いました。	CC-BY 2.0 (France) Attribution: tatoeba.org #19458 (CK) & #182267 (bunbuku)
My head hurts.	頭痛い。	CC-BY 2.0 (France) Attribution: tatoeba.org #456425 (lukaszpp) & #3590724 (tommy_san)
I want something cold to drink.	何か冷たいものが飲みたい。	CC-BY 2.0 (France) Attribution: tatoeba.org #25013 (CK) & #187876 (bunbuku)
I can't decide where to eat lunch.	どこでお昼ご飯を食べようか迷っちゃうな。	CC-BY 2.0 (France) Attribution: tatoeba.org #1847823 (CK) & #2110625 (bunbuku)
Do you really want to do that?	本当にする気ですか？	CC-BY 2.0 (France) Attribution: tatoeba.org #1874023 (CK) & #8555397 (e4zh1nmcz)
Don't walk alone after dark.	暗くなったらひとりで歩いてはいけません。	CC-BY 2.0 (France) Attribution: tatoeba.org #28457 (CK) & #191296 (bunbuku)
I agree with your opinion about taxes.	私は税金についてあなたの意見に賛成です。	CC-BY 2.0 (France) Attribution: tatoeba.org #259004 (CK) & #155534 (mookeee)
I forgot his address.	彼の住所を忘れてしまった。	CC-BY 2.0 (France) Attribution: tatoeba.org #260664 (CK) & #1882989 (Unaden)
The doors on the left will open.	お出口は左側です。	CC-BY 2.0 (France) Attribution: tatoeba.org #8614091 (CK) & #8612272 (small_snow)
Do you believe that I have a chance to get that position?	私にそのポストを手に入れるチャンスがあるとあなたは信じる？	CC-BY 2.0 (France) Attribution: tatoeba.org #7226151 (CK) & #4744302 (riki)
She still hated him, even after he died.	彼が死んだ後でもまだ彼女は彼を憎んでいた。	CC-BY 2.0 (France) Attribution: tatoeba.org #283707 (CK) & #1116660 (bunbuku)
I like to travel.	旅行が好きです。	CC-BY 2.0 (France) Attribution: tatoeba.org #692207 (Riskemulo) & #961432 (hambird)
Excuse me, but may I use the phone?	すみませんが、電話を使ってもよろしいですか。	CC-BY 2.0 (France) Attribution: tatoeba.org #1327467 (CK) & #214149 (bunbuku)
Will you show me your album?	あなたのアルバムを見せてくれる？	CC-BY 2.0 (France) Attribution: tatoeba.org #71014 (CK) & #233642 (bunbuku)
Will you come with me to the store?	一緒にお店へ行きませんか。	CC-BY 2.0 (France) Attribution: tatoeba.org #703313 (papabear) & #2131398 (bunbuku)
How does he go to school?	彼はどうやって学校に通っていますか。	CC-BY 2.0 (France) Attribution: tatoeba.org #291983 (CK) & #111700 (bunbuku)
The plane turned eastward.	飛行機は東へ旋回した。	CC-BY 2.0 (France) Attribution: tatoeba.org #318098 (CM) & #85614 (mookeee)
This is a portrait of my late father.	これは亡くなった父の肖像画です。	CC-BY 2.0 (France) Attribution: tatoeba.org #55402 (papabear) & #100028 (tommy_san)
I woke up with a crick in my neck.	首を寝違えました。	CC-BY 2.0 (France) Attribution: tatoeba.org #1318737 (CM) & #148427 (bunbuku)
My father always said that heaven helps those who help themselves.	父はいつも「天は自ら助くる者を助く」と言っていました。	CC-BY 2.0 (France) Attribution: tatoeba.org #318965 (CK) & #84749 (tommy_san)
I'd prefer not to sing today.	今日は歌いたくないんだけど。	CC-BY 2.0 (France) Attribution: tatoeba.org #5799551 (CK) & #8575497 (small_snow)
Close the door, please.	ドアを閉めて下さい。	CC-BY 2.0 (France) Attribution: tatoeba.org #38524 (CK) & #201774 (bunbuku)
It isn't so muggy today.	今日はそんなに蒸し暑くない。	CC-BY 2.0 (France) Attribution: tatoeba.org #8045317 (CK) & #8405171 (Ninja)
I don't want Tom to know about this.	この話はトムには聞かせたくない。	CC-BY 2.0 (France) Attribution: tatoeba.org #2018786 (CK) & #3362211 (arnab)
Reading books is interesting.	本を読むことは面白い。	CC-BY 2.0 (France) Attribution: tatoeba.org #577830 (CK) & #81615 (mookeee)
Please call a taxi.	タクシーを呼んで下さい。	CC-BY 2.0 (France) Attribution: tatoeba.org #2267647 (_undertoad) & #203703 (arnab)
She's just putting up a front.	彼女は見栄を張っているだけだよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #313484 (CM) & #90231 (small_snow)
I went to the airport to meet my father.	父と会いに空港へ行った。	CC-BY 2.0 (France) Attribution: tatoeba.org #2733312 (CK) & #1003939 (mookeee)
You can't make bricks without straw.	藁なしで煉瓦はできない。	CC-BY 2.0 (France) Attribution: tatoeba.org #1411291 (CK) & #77126 (mookeee)
Do you sell advance tickets here?	前売り券をここで取り扱っていますか。	CC-BY 2.0 (France) Attribution: tatoeba.org #273635 (CK) & #140937 (bunbuku)
There is little hope of her getting well soon.	彼女がすぐに良くなる見込みはほとんどない。	CC-BY 2.0 (France) Attribution: tatoeba.org #308031 (CM) & #95674 (bunbuku)
It's about time you got up.	もう起きてもいいころだよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #31401 (CK) & #194227 (mookeee)
He begins to sketch no matter where he is.	彼はどこでもスケッチを始める。	CC-BY 2.0 (France) Attribution: tatoeba.org #292019 (CK) & #111664 (mookeee)
I love math.	私は数学が大好きです。	CC-BY 2.0 (France) Attribution: tatoeba.org #396709 (FeuDRenais) & #2684210 (cogas)
It's for sale.	売りものです。	CC-BY 2.0 (France) Attribution: tatoeba.org #2249078 (CK) & #3496766 (arnab)
It's about 30 minutes from here on foot.	ここから歩きで30分くらいかかる。	CC-BY 2.0 (France) Attribution: tatoeba.org #7913539 (CK) & #7927732 (Ninja)
That's no way to talk to your teacher.	先生に向かって、そういう口の利き方はないでしょう。	CC-BY 2.0 (France) Attribution: tatoeba.org #3181985 (CK) & #3598301 (arnab)
Anyone who has made a promise should keep it.	約束をした人はだれでもそれを守るべきだ。	CC-BY 2.0 (France) Attribution: tatoeba.org #324189 (CM) & #237444 (mookeee)
I am very sensitive to the cold.	私は寒さに敏感だ。	CC-BY 2.0 (France) Attribution: tatoeba.org #256715 (CK) & #157816 (bunbuku)
This is a bad sign.	これは悪い兆候だ。	CC-BY 2.0 (France) Attribution: tatoeba.org #3192785 (CK) & #3598735 (arnab)
Was it humid yesterday?	昨日は蒸し暑かった？	CC-BY 2.0 (France) Attribution: tatoeba.org #6271254 (CK) & #8749961 (bunbuku)
How about some tea?	紅茶はいかが？	CC-BY 2.0 (France) Attribution: tatoeba.org #2883189 (CK) & #8875104 (small_snow)
Is that a cat or a dog?	それは猫ですか、それとも犬ですか。	CC-BY 2.0 (France) Attribution: tatoeba.org #67041 (Eldad) & #1626298 (ki)
I want another.	別のが欲しい。	CC-BY 2.0 (France) Attribution: tatoeba.org #1815572 (inestpereira) & #8817030 (small_snow)
I want to take a rest.	休憩したいよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #267744 (CK) & #2130918 (bunbuku)
Muammar Kaddafi escaped unharmed.	ムアンマル・カダフィは無傷で脱出した。	CC-BY 2.0 (France) Attribution: tatoeba.org #807145 (Source_VOA) & #994634 (mookeee)
I fell asleep before my father came home.	僕はお父さんが帰ってくる前に眠ってしまった。	CC-BY 2.0 (France) Attribution: tatoeba.org #321597 (CK) & #82118 (tommy__san)
See to this matter right away, will you?	この件を直ぐに調べてくれ。	CC-BY 2.0 (France) Attribution: tatoeba.org #59459 (CM) & #222134 (bunbuku)
Will you notify me after 3 minutes?	３分たったら教えてもらえますか。	CC-BY 2.0 (France) Attribution: tatoeba.org #72632 (CK) & #235254 (e4zh1nmcz)
Tom is the one who made that decision.	トムは、それを決断した一人です。	CC-BY 2.0 (France) Attribution: tatoeba.org #6345387 (CK) & #8505203 (small_snow)
He had bruises all over his body after the fight.	けんかの後、彼は体中に打撲を負っていた。	CC-BY 2.0 (France) Attribution: tatoeba.org #2698865 (WestofEden) & #1014771 (mookeee)
Is this a dream?	これは夢なのか？	CC-BY 2.0 (France) Attribution: tatoeba.org #2045336 (CK) & #2047008 (bunbuku)
I wanted to eat pizza.	ピザを食べたかった。	CC-BY 2.0 (France) Attribution: tatoeba.org #8071454 (CK) & #8075139 (Ninja)
She embroidered her own initials on the white handkerchief.	彼女は白いハンカチに自分のイニシャルを刺繍した。	CC-BY 2.0 (France) Attribution: tatoeba.org #898969 (shiba80) & #87546 (bunbuku)
The bridge between Denmark and Sweden is almost five miles long.	デンマークとスウェーデンを結ぶ橋の長さは約５マイルです。	CC-BY 2.0 (France) Attribution: tatoeba.org #680425 (Source_VOA) & #2458746 (saturo)
We rested for a while.	私たちはしばらく休んだ。	CC-BY 2.0 (France) Attribution: tatoeba.org #248006 (CK) & #166496 (bunbuku)
He is stronger than I am.	彼は私より力が強い。	CC-BY 2.0 (France) Attribution: tatoeba.org #298064 (CK) & #105624 (bunbuku)
The job of a driver is harder than it looks.	運転手の仕事は見かけほど楽ではない。	CC-BY 2.0 (France) Attribution: tatoeba.org #26598 (CK) & #189447 (tommy__san)
I saw her swim.	私は彼女が泳ぐのを見た。	CC-BY 2.0 (France) Attribution: tatoeba.org #261029 (CK) & #153514 (bunbuku)
He works us too hard.	彼は私達をこき使っている。	CC-BY 2.0 (France) Attribution: tatoeba.org #298202 (CM) & #105487 (mookeee)
He is the captain of the team.	彼はチームの主将だ。	CC-BY 2.0 (France) Attribution: tatoeba.org #291710 (CK) & #111968 (mookeee)
Faith can move mountains.	信仰は山をも動かす。	CC-BY 2.0 (France) Attribution: tatoeba.org #268836 (CM) & #145726 (tommy__san)
I'm looking for a simpler solution.	より簡単な解決策を模索している。	CC-BY 2.0 (France) Attribution: tatoeba.org #7043028 (ljradio) & #8642526 (small_snow)
Are you sure you heard something?	本当に何か聞こえたの？	CC-BY 2.0 (France) Attribution: tatoeba.org #5499498 (CK) & #8749191 (bunbuku)
You can come with me.	一緒に来てもいいよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #33574 (CK) & #190510 (small_snow)
War suddenly broke out.	戦争が突然始まった。	CC-BY 2.0 (France) Attribution: tatoeba.org #273276 (CM) & #141296 (tommy__san)
He couldn't remember my address.	彼は私の住所が思い出せなかった。	CC-BY 2.0 (France) Attribution: tatoeba.org #291953 (CK) & #111725 (arnab)
Tom asked for help.	トムは助けを求めた。	CC-BY 2.0 (France) Attribution: tatoeba.org #1553377 (CK) & #2608735 (OrangeTart)
It's good to be back in Boston.	やっぱりボストンに帰るとホッとするなあ。	CC-BY 2.0 (France) Attribution: tatoeba.org #2541753 (CK) & #2887194 (tokyomaths)
Are you sleepy yet?	もう眠いの？	CC-BY 2.0 (France) Attribution: tatoeba.org #1792266 (acorn) & #8723012 (bunbuku)
I'm not good at multitasking.	一度に複数の仕事をこなすのは得意ではありません。	CC-BY 2.0 (France) Attribution: tatoeba.org #403860 (TRANG) & #760545 (arihato)
How do I report a theft?	盗難届はどのようにすればいいのですか。	CC-BY 2.0 (France) Attribution: tatoeba.org #279865 (CK) & #124129 (bunbuku)
He finally had to step down.	彼は結局あきらめざるを得なかった。	CC-BY 2.0 (France) Attribution: tatoeba.org #295876 (CM) & #107809 (Blanka_Meduzo)
I wonder if the weather will hold.	天気が持つかなあ。	CC-BY 2.0 (France) Attribution: tatoeba.org #278888 (CK) & #1063425 (bunbuku)
She is after a better job.	彼女はもっとよい仕事を探している。	CC-BY 2.0 (France) Attribution: tatoeba.org #312349 (CK) & #91364 (bunbuku)
He acted like a lunatic.	彼は狂人のように振る舞った。	CC-BY 2.0 (France) Attribution: tatoeba.org #852277 (beauzavier) & #108318 (bunbuku)
Tom says his stomach still hurts.	トムはまだ胃が痛むって言ってるよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #6260458 (CK) & #8637397 (small_snow)
The police are pursuing an escaped prisoner.	警察は脱獄囚を追っている。	CC-BY 2.0 (France) Attribution: tatoeba.org #238307 (CK) & #1698842 (mookeee)
In all probability, we'll arrive before them.	きっと私たちの方が彼らよりも前に到着するだろう。	CC-BY 2.0 (France) Attribution: tatoeba.org #1489910 (CK) & #226017 (bunbuku)
Keep on working while I'm away.	私がいない間も作業を続けなさい。	CC-BY 2.0 (France) Attribution: tatoeba.org #1304535 (CK) & #236861 (mookeee)
I can't fall asleep.	眠れないんですよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #337417 (TRANG) & #80973 (bunbuku)
How are you?	元気？	CC-BY 2.0 (France) Attribution: tatoeba.org #373320 (CK) & #175045 (bunbuku)
She's seventeen years old.	彼女は１７歳です。	CC-BY 2.0 (France) Attribution: tatoeba.org #2765316 (CK) & #93632 (bunbuku)
Let me handle it.	私に任せなさい。	CC-BY 2.0 (France) Attribution: tatoeba.org #1845495 (CK) & #164338 (bunbuku)
My mother is now crazy about tennis.	母は今テニスに熱中している。	CC-BY 2.0 (France) Attribution: tatoeba.org #486139 (CK) & #83002 (tommy_san)
Hand in the three sheets of paper together.	用紙は３枚重ねて出してください。	CC-BY 2.0 (France) Attribution: tatoeba.org #324856 (CM) & #78860 (mookeee)
You aren't a mechanic, are you?	整備士ではないんですね？	CC-BY 2.0 (France) Attribution: tatoeba.org #6898276 (CK) & #8576253 (small_snow)
"Do you like cake? ""Yes, I do."""	「ケーキはお好きですか」「はい、好きです」	CC-BY 2.0 (France) Attribution: tatoeba.org #73919 (CK) & #236630 (mookeee)
I'm not kidding about this.	これは冗談じゃないよ。	CC-BY 2.0 (France) Attribution: tatoeba.org #8623712 (Hybrid) & #8625505 (small_snow)
Tulips are in full bloom now.	チューリップは今が満開です。	CC-BY 2.0 (France) Attribution: tatoeba.org #40179 (CK) & #202944 (tommy_san)
